abandonment_reason,abandonment_reason_work,age_group,cart_abandonment,city,competitor_primary,competitor_usage,competitor_usage_flag,competitor_usage_work,decision_factor,decision_factor_work,decision_style,delivery_delay,delivery_delay_score,Sum of factor_cuisine_preference,Sum of factor_delivery_time,Sum of factor_discounts_offers,Sum of factor_price,Sum of factor_rating_reviews,improvement,improvement_category,improvement_clean,intent,intent _clean,intent_group,occupation,Sum of reason_changed_mind,Sum of reason_found_better_option,Sum of reason_high_delivery_charges,Sum of reason_long_delivery_time,satisfaction,satisfaction_score,usage_frequency
"High Delivery Charges, Long Delivery Time","High Delivery Charges, Long Delivery Time",25-34,Yes,Delhi,Others,Yes,1,yes,"Price, Ratings & Reviews, Discounts/Offers","Price, Ratings & Reviews, Discounts/Offers",Compare,Sometimes,2,0,0,1,1,1,Better Service,Customer Support,better service,Looking For Offers/Discounts,Looking for offers/discounts,Low Intent,Student,0,0,1,1,Neutral,3,Rarely
"High Delivery Charges, Long Delivery Time","High Delivery Charges, Long Delivery Time",25-34,Yes,Mumbai,Others,Sometimes They Offer Better Services,1,sometimes they offer better services,"Price, Delivery Time","Price, Delivery Time",Compare,Sometimes,2,0,1,0,1,0,Overall Variety,Others,overall variety,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,0,0,1,1,Neutral,3,Weekly
"High Delivery Charges, Long Delivery Time","High Delivery Charges, Long Delivery Time",25-34,Yes,Swiggy,Others,Free Delivery With One And Good Discounts,1,free delivery with one and good discounts,"Price, Ratings & Reviews, Delivery Time","Price, Ratings & Reviews, Delivery Time",Browse,Sometimes,2,0,1,0,1,1,Extra Charges,Pricing Issue,extra charges,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,0,0,1,1,Neutral,3,Weekly
"High Delivery Charges, Long Delivery Time, Changed My Mind","High Delivery Charges, Long Delivery Time, Changed My Mind",35+,Yes,Hyderabad,Swiggy,"Yes, Swiggy Is Better",1,"yes, swiggy is better","Price, Ratings & Reviews, Discounts/Offers","Price, Ratings & Reviews, Discounts/Offers",Browse,Sometimes,2,0,0,1,1,1,App,App/UX Issue,app,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,1,0,1,1,Very Satisfied,5,Rarely
"High Delivery Charges, Long Delivery Time, Changed My Mind, Found A Better Option","High Delivery Charges, Long Delivery Time, Changed My Mind, Found A Better Option",18-24,Yes,Indore,Others,Always,1,always,Ratings & Reviews,Ratings & Reviews,Quickly,Sometimes,2,0,0,0,0,1,Prices,Pricing Issue,prices,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Student,1,1,1,1,Neutral,3,Weekly
"High Delivery Charges, Long Delivery Time, Changed My Mind, Found A Better Option","High Delivery Charges, Long Delivery Time, Changed My Mind, Found A Better Option",25-34,Yes,Mumbai,Others,Yes. For Comparison,1,yes. for comparison,"Ratings & Reviews, Discounts/Offers, Cuisine Preference","Ratings & Reviews, Discounts/Offers, Cuisine Preference",Compare,Rarely,1,1,0,1,0,1,"Prices And Offers And Now A Days Delivery As Well. As Many Times, My Order Comes Incomplete And Some Items Are Missing. This Happened Twice With Me",Pricing Issue,"prices and offers and now a days delivery as well. as many times, my order comes incomplete and some items are missing. this happened twice with me",Looking For Offers/Discounts,Looking for offers/discounts,Low Intent,Working Professional,1,1,1,1,Neutral,3,Weekly
"High Delivery Charges, Long Delivery Time, Found A Better Option","High Delivery Charges, Long Delivery Time, Found A Better Option",18-24,Yes,Mumbai,Others,"Yess, Interface Ans Discount",1,"yess, interface ans discount","Ratings & Reviews, Delivery Time, Discounts/Offers","Ratings & Reviews, Delivery Time, Discounts/Offers",Compare,Very Often,4,0,1,1,0,1,Delivery Time,Delivery Issue,delivery time,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,0,1,1,1,Neutral,3,Frequently
"High Delivery Charges, Long Delivery Time, Found A Better Option","High Delivery Charges, Long Delivery Time, Found A Better Option",18-24,Yes,Panipat,Others,Yes,1,yes,"Ratings & Reviews, Delivery Time, Discounts/Offers","Ratings & Reviews, Delivery Time, Discounts/Offers",Compare,Very Often,4,0,1,1,0,1,Packaging And Delivery,Delivery Issue,packaging and delivery,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,0,1,1,1,Neutral,3,Rarely
"High Delivery Charges, Long Delivery Time, Found A Better Option","High Delivery Charges, Long Delivery Time, Found A Better Option",35+,Yes,Mumbai,Others,Sometimes,1,sometimes,Cuisine Preference,Cuisine Preference,Compare,Rarely,1,1,0,0,0,0,Can Add Comparison Of Prices For. Same Food Item,Pricing Issue,can add comparison of prices for. same food item,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,0,1,1,1,Very Satisfied,5,Weekly
"High Delivery Charges, Payment Issues","High Delivery Charges, Payment Issues",18-24,Yes,Gurgoan,Others,No,0,no,"Price, Discounts/Offers","Price, Discounts/Offers",Quickly,Sometimes,2,0,0,1,1,0,Dishes Prices,Pricing Issue,dishes prices,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Student,0,0,1,0,Neutral,3,Rarely
Long Delivery Time,Long Delivery Time,25-34,Yes,Gurgoan,Others,Yes,1,yes,"Ratings & Reviews, Delivery Time, Discounts/Offers","Ratings & Reviews, Delivery Time, Discounts/Offers",Compare,Sometimes,2,0,1,1,0,1,Everything,Others,everything,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,0,0,0,1,Neutral,3,Weekly
"Long Delivery Time, Changed My Mind, Found A Better Option","Long Delivery Time, Changed My Mind, Found A Better Option",25-34,Yes,Delhi,Others,Yes,1,yes,"Price, Delivery Time, Discounts/Offers","Price, Delivery Time, Discounts/Offers",Compare,Sometimes,2,0,1,1,1,0,Not Sure,No Feedback,not sure,Looking For Offers/Discounts,Looking for offers/discounts,Low Intent,Working Professional,1,1,0,1,Neutral,3,Rarely
"Long Delivery Time, Found A Better Option","Long Delivery Time, Found A Better Option",18-24,Yes,Dehradun,Swiggy,Zomato Swiggy Toing Zepto Cafe Magicpin Bistro Eatclub,1,zomato swiggy toing zepto cafe magicpin bistro eatclub,"Ratings & Reviews, Cuisine Preference","Ratings & Reviews, Cuisine Preference",Compare,Sometimes,2,1,0,0,0,1,No Idea,No Feedback,no idea,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,0,1,0,1,Neutral,3,Rarely
"Long Delivery Time, Found A Better Option","Long Delivery Time, Found A Better Option",25-34,Yes,Bangalore,Others,"Yes, For Quick Service And Good Offers",1,"yes, for quick service and good offers","Ratings & Reviews, Delivery Time, Cuisine Preference","Ratings & Reviews, Delivery Time, Cuisine Preference",Compare,Sometimes,2,1,1,0,0,1,Too Many Types Of Charges They Have,Pricing Issue,too many types of charges they have,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,0,1,0,1,Neutral,3,Weekly
"Long Delivery Time, Found A Better Option","Long Delivery Time, Found A Better Option",25-34,Yes,Sirsa,Others,No I Donot Use,0,no i donot use,"Price, Ratings & Reviews, Delivery Time, Discounts/Offers","Price, Ratings & Reviews, Delivery Time, Discounts/Offers",Browse,Sometimes,2,0,1,1,1,1,Multi Order Deliver By One Delivery Executive,Delivery Issue,multi order deliver by one delivery executive,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,0,1,0,1,Neutral,3,Weekly
"Long Delivery Time, Found A Better Option","Long Delivery Time, Found A Better Option",35+,Yes,Mumbai,Others,"Yes, To Compare",1,"yes, to compare","Price, Ratings & Reviews, Delivery Time, Discounts/Offers, Cuisine Preference","Price, Ratings & Reviews, Delivery Time, Discounts/Offers, Cuisine Preference",Compare,Sometimes,2,1,1,1,1,1,Delivery Time And Price,Pricing Issue,delivery time and price,Exploring Restaurants,Exploring restaurants,Low Intent,Working Professional,0,1,0,1,Neutral,3,Rarely
"Long Delivery Time, Payment Issues, Found A Better Option","Long Delivery Time, Payment Issues, Found A Better Option",25-34,Yes,Delhi,Swiggy,"Yes, I Use Swiggy Sometimes. Mainly To Compare Prices, Delivery Time, And Restaurant Availability. Sometimes Swiggy Has Better Offers Or Faster Delivery..",1,"yes, i use swiggy sometimes. mainly to compare prices, delivery time, and restaurant availability. sometimes swiggy has better offers or faster delivery..","Ratings & Reviews, Discounts/Offers","Ratings & Reviews, Discounts/Offers",Compare,Sometimes,2,0,0,1,0,1,"Zomato Should Improve Price Transparency, Final Cost Often Feels Higher Than Expected Due To Added Fees , Cart Charges, Delivery Fees And Taxes. Showing Clearer Upfront Pricing Would Improve Trust And Reduce Drop-Offs. More Support Help Should Be Available 24*7 Times.",Pricing Issue,"zomato should improve price transparency, final cost often feels higher than expected due to added fees , cart charges, delivery fees and taxes. showing clearer upfront pricing would improve trust and reduce drop-offs. more support help should be available 24*7 times.",I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,0,1,0,1,Neutral,3,Frequently
